## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS14425	1148.1001651	7.55e-206	569.0	COG1122@1|root,COG1122@2|Bacteria,1G08Z@1117|Cyanobacteria,1H5ID@1142|Synechocystis	1142|Synechocystis	P	ATPases associated with a variety of cellular activities	-	-	-	ko:K02006	ko02010,map02010	M00245,M00246	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.18,3.A.1.22,3.A.1.23	-	-	ABC_tran
SGL_RS14430	1148.1001652	7.94e-174	486.0	COG0619@1|root,COG0619@2|Bacteria,1G340@1117|Cyanobacteria,1H600@1142|Synechocystis	1142|Synechocystis	P	Cobalt transport protein	-	-	-	ko:K02008	ko02010,map02010	M00245,M00246	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.18,3.A.1.22,3.A.1.23	-	-	CbiQ
SGL_RS14435	1148.1001653	1.1e-145	411.0	COG0310@1|root,COG0310@2|Bacteria,1G57Y@1117|Cyanobacteria,1H6CS@1142|Synechocystis	1142|Synechocystis	P	Cobalt uptake substrate-specific transmembrane region	cbiM	-	-	ko:K02007	ko02010,map02010	M00245,M00246	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.18,3.A.1.22,3.A.1.23	-	-	CbiM
SGL_RS14440	1148.1001654	2.61e-123	351.0	COG5266@1|root,COG5266@2|Bacteria,1G83Z@1117|Cyanobacteria,1H6M9@1142|Synechocystis	1142|Synechocystis	P	PFAM Nickel transport complex, NikM subunit, transmembrane	-	-	-	ko:K16915	ko02010,map02010	M00246	-	-	ko00000,ko00001,ko00002,ko02000	-	-	-	-
SGL_RS14445	1148.1001655	1.86e-211	584.0	28I7C@1|root,2Z8A8@2|Bacteria,1FZZB@1117|Cyanobacteria,1H69F@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS19635	1148.1673340	1.63e-25	94.7	2CAJ6@1|root,31668@2|Bacteria,1GIJD@1117|Cyanobacteria,1H6US@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14455	1148.1673342	7.39e-64	194.0	28RY7@1|root,2ZEAA@2|Bacteria,1GFVR@1117|Cyanobacteria,1H6UI@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14460	1148.1001656	3.79e-274	748.0	COG0438@1|root,COG0438@2|Bacteria,1G24T@1117|Cyanobacteria,1H4G6@1142|Synechocystis	1142|Synechocystis	M	Glycosyl transferases group 1	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1
SGL_RS14465	1148.1001657	9.03e-183	511.0	COG1043@1|root,COG1043@2|Bacteria,1G1V3@1117|Cyanobacteria,1H4XX@1142|Synechocystis	1142|Synechocystis	I	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxA	-	2.3.1.129	ko:K00677	ko00540,ko01100,ko01503,map00540,map01100,map01503	M00060	R04567	RC00039,RC00055	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	iJN678.lpxA	Acetyltransf_11,Hexapep
SGL_RS14470	1148.1001658	8.07e-142	401.0	2CXH9@1|root,32T20@2|Bacteria,1G833@1117|Cyanobacteria,1H5Y5@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14480	1148.1001660	1.05e-181	506.0	COG0007@1|root,COG0007@2|Bacteria,1G0X6@1117|Cyanobacteria,1H4Q6@1142|Synechocystis	1142|Synechocystis	H	Tetrapyrrole (Corrin/Porphyrin) Methylases	-	GO:0003674,GO:0003824,GO:0004851,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008757,GO:0009058,GO:0009987,GO:0016740,GO:0016741,GO:0018130,GO:0019354,GO:0019438,GO:0032259,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0046148,GO:0046156,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.1.1.107	ko:K02303	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R03194	RC00003,RC00871	ko00000,ko00001,ko00002,ko01000	-	-	-	TP_methylase
SGL_RS14485	1148.1001661	0.0	2356.0	COG1197@1|root,COG1197@2|Bacteria,1G1B8@1117|Cyanobacteria,1H513@1142|Synechocystis	1142|Synechocystis	L	Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site	mfd	-	-	ko:K03723	ko03420,map03420	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	CarD_CdnL_TRCF,DEAD,Helicase_C,TRCF
SGL_RS14490	1148.1001662	1.63e-63	194.0	2EHIJ@1|root,30VB6@2|Bacteria,1GIHW@1117|Cyanobacteria,1H6P8@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14495	1148.1001663	2.65e-220	608.0	COG0797@1|root,COG0797@2|Bacteria,1G0XF@1117|Cyanobacteria,1H5MS@1142|Synechocystis	1142|Synechocystis	M	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides	rlpA	-	-	ko:K03642	-	-	-	-	ko00000	-	-	-	DPBB_1
SGL_RS14500	1148.1001664	8.65e-174	485.0	COG0410@1|root,COG0410@2|Bacteria,1G0UF@1117|Cyanobacteria,1H5HR@1142|Synechocystis	1142|Synechocystis	E	ATPases associated with a variety of cellular activities	-	-	-	ko:K11963	ko02010,map02010	M00323	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	-	ABC_tran
SGL_RS14505	1148.1001665	1.05e-310	847.0	COG0014@1|root,COG0014@2|Bacteria,1G1NS@1117|Cyanobacteria,1H4ZB@1142|Synechocystis	1142|Synechocystis	E	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate	-	GO:0003674,GO:0003824,GO:0004350,GO:0008150,GO:0008152,GO:0016491,GO:0016620,GO:0016903,GO:0055114	1.2.1.41	ko:K00147	ko00330,ko00332,ko01100,ko01110,ko01130,ko01230,map00330,map00332,map01100,map01110,map01130,map01230	M00015	R03313	RC00684	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
SGL_RS14510	1148.1001666	5.4e-120	345.0	2C4VI@1|root,2ZC57@2|Bacteria,1G527@1117|Cyanobacteria,1H5EX@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3177)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3177
SGL_RS14520	1148.1673343	1.15e-43	142.0	COG1598@1|root,COG1598@2|Bacteria,1G8JG@1117|Cyanobacteria,1H6RJ@1142|Synechocystis	1142|Synechocystis	S	HicB_like antitoxin of bacterial toxin-antitoxin system	-	-	-	-	-	-	-	-	-	-	-	-	HicB_lk_antitox
SGL_RS14525	1148.1001667	0.0	1056.0	COG3344@1|root,COG3344@2|Bacteria,1G4SU@1117|Cyanobacteria,1H67Z@1142|Synechocystis	1142|Synechocystis	L	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
SGL_RS14530	1148.1001668	0.0	2135.0	COG0458@1|root,COG0458@2|Bacteria,1G00J@1117|Cyanobacteria,1H4GU@1142|Synechocystis	1142|Synechocystis	F	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	carB	GO:0000050,GO:0003674,GO:0003824,GO:0004087,GO:0004088,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016884,GO:0019627,GO:0019752,GO:0034641,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	6.3.5.5	ko:K01955	ko00240,ko00250,ko01100,map00240,map00250,map01100	M00051	R00256,R00575,R01395,R10948,R10949	RC00002,RC00010,RC00043,RC02750,RC02798,RC03314	ko00000,ko00001,ko00002,ko01000	-	-	-	CPSase_L_D2,CPSase_L_D3,MGS
SGL_RS14535	1148.1001669	3.52e-91	267.0	2C0ZH@1|root,32VUV@2|Bacteria,1G89N@1117|Cyanobacteria,1H6M8@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14540	1148.1001670	1.14e-118	340.0	COG2065@1|root,COG2065@2|Bacteria,1G4ZI@1117|Cyanobacteria,1H5CC@1142|Synechocystis	1142|Synechocystis	F	Phosphoribosyl transferase domain	pyrR	-	2.4.2.9	ko:K02825	ko00240,ko01100,map00240,map01100	-	R00966	RC00063	ko00000,ko00001,ko01000,ko03000	-	-	-	Pribosyltran
SGL_RS14545	1147.D082_07240	3.83e-165	462.0	COG0302@1|root,COG0302@2|Bacteria,1G1K8@1117|Cyanobacteria,1H4HC@1142|Synechocystis	1142|Synechocystis	F	GTP cyclohydrolase I	folE	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003933,GO:0003934,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006066,GO:0006725,GO:0006729,GO:0006732,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009108,GO:0009987,GO:0016787,GO:0016810,GO:0016814,GO:0017076,GO:0017144,GO:0018130,GO:0019001,GO:0019238,GO:0019438,GO:0019751,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034311,GO:0034312,GO:0034641,GO:0035639,GO:0036094,GO:0042558,GO:0042559,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046146,GO:0046165,GO:0046173,GO:0046483,GO:0046872,GO:0046914,GO:0051186,GO:0051188,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617	3.5.4.16	ko:K01495	ko00790,ko01100,map00790,map01100	M00126,M00841,M00842,M00843	R00428,R04639,R05046,R05048	RC00263,RC00294,RC00323,RC00945,RC01188	ko00000,ko00001,ko00002,ko01000	-	-	iECNA114_1301.folE,iJN678.folE	GTP_cyclohydroI
SGL_RS14550	1148.1001672	7.82e-302	823.0	COG1058@1|root,COG1546@1|root,COG1058@2|Bacteria,COG1546@2|Bacteria,1G0IZ@1117|Cyanobacteria,1H50Q@1142|Synechocystis	1142|Synechocystis	S	Competence-damaged protein	-	-	3.5.1.42	ko:K03742	ko00760,map00760	-	R02322	RC00100	ko00000,ko00001,ko01000	-	-	-	CinA,MoCF_biosynth
SGL_RS14555	1148.1001673	1.65e-111	319.0	COG0792@1|root,COG0792@2|Bacteria,1G7PN@1117|Cyanobacteria,1H5TS@1142|Synechocystis	1142|Synechocystis	L	Uncharacterised protein family UPF0102	-	-	-	ko:K07460	-	-	-	-	ko00000	-	-	-	UPF0102
SGL_RS14560	1148.1001674	7.7e-304	835.0	COG0810@1|root,COG0810@2|Bacteria,1GIY0@1117|Cyanobacteria,1H678@1142|Synechocystis	1142|Synechocystis	M	Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14565	1148.1001675	0.0	1070.0	COG2385@1|root,COG2385@2|Bacteria,1FZX9@1117|Cyanobacteria,1H4T2@1142|Synechocystis	1142|Synechocystis	D	Stage II sporulation protein	-	-	-	-	-	-	-	-	-	-	-	-	SpoIID
SGL_RS14570	1148.1001676	2.84e-79	235.0	COG0607@1|root,COG0607@2|Bacteria,1G7VW@1117|Cyanobacteria,1H5WE@1142|Synechocystis	1142|Synechocystis	P	Rhodanese Homology Domain	-	-	-	-	-	-	-	-	-	-	-	-	Rhodanese
SGL_RS14575	1148.1001677	6.96e-100	290.0	COG0724@1|root,COG0724@2|Bacteria,1G6ME@1117|Cyanobacteria,1H5KT@1142|Synechocystis	1142|Synechocystis	S	RNA recognition motif	-	-	-	-	-	-	-	-	-	-	-	-	RRM_1
SGL_RS14580	1148.1001678	1.17e-155	438.0	COG0120@1|root,COG0120@2|Bacteria,1G2DW@1117|Cyanobacteria,1H4UU@1142|Synechocystis	1142|Synechocystis	G	Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate	rpiA	GO:0003674,GO:0003824,GO:0004751,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006014,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009117,GO:0009987,GO:0016853,GO:0016860,GO:0016861,GO:0019321,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564	5.3.1.6	ko:K01807	ko00030,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167,M00580	R01056	RC00434	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.rpiA	Rib_5-P_isom_A
SGL_RS14585	1148.1001679	9.49e-109	315.0	COG0823@1|root,COG0823@2|Bacteria,1G5RG@1117|Cyanobacteria,1H5PN@1142|Synechocystis	1142|Synechocystis	U	WD40-like Beta Propeller Repeat	-	-	-	-	-	-	-	-	-	-	-	-	PD40
SGL_RS14595	1148.1001681	0.0	1100.0	COG1502@1|root,COG1555@1|root,COG1502@2|Bacteria,COG1555@2|Bacteria,1G01I@1117|Cyanobacteria,1H4Y8@1142|Synechocystis	1142|Synechocystis	IL	Phospholipase D. Active site motifs.	-	-	-	-	-	-	-	-	-	-	-	-	HHH_3,PLDc_2
SGL_RS14600	1148.1001682	1.05e-312	850.0	COG3330@1|root,COG3330@2|Bacteria,1G01Q@1117|Cyanobacteria,1H59A@1142|Synechocystis	1142|Synechocystis	S	Rho termination factor, N-terminal domain	-	-	-	ko:K09942	-	-	-	-	ko00000	-	-	-	DUF4912,Rho_N
SGL_RS14605	1148.1001683	7.75e-217	598.0	COG0121@1|root,COG0121@2|Bacteria,1G0IW@1117|Cyanobacteria,1H5AS@1142|Synechocystis	1142|Synechocystis	S	Glutamine amidotransferases class-II	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006518,GO:0006575,GO:0006749,GO:0006751,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0032991,GO:0034641,GO:0042219,GO:0043171,GO:0043603,GO:0044237,GO:0044248,GO:0044273,GO:0044424,GO:0044464,GO:0051186,GO:0051187,GO:0061672,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1905368	-	-	-	-	-	-	-	-	-	-	GATase_4
SGL_RS14610	1148.1001684	1.41e-266	733.0	COG0568@1|root,COG0568@2|Bacteria,1G15N@1117|Cyanobacteria,1H50D@1142|Synechocystis	1142|Synechocystis	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	sigC	-	-	ko:K03087	ko02026,ko05111,map02026,map05111	-	-	-	ko00000,ko00001,ko03021	-	-	-	Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4
SGL_RS14620	1148.1001685	1.05e-225	620.0	COG2048@1|root,COG2048@2|Bacteria,1G038@1117|Cyanobacteria,1H54Q@1142|Synechocystis	1142|Synechocystis	C	Cysteine-rich domain	hdrB	-	-	ko:K00241	ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00149,M00173,M00374,M00376	R02164	RC00045	ko00000,ko00001,ko00002	-	-	-	CCG
SGL_RS14625	1148.1001686	2.36e-61	188.0	COG0762@1|root,COG0762@2|Bacteria,1G7Q2@1117|Cyanobacteria,1H5YS@1142|Synechocystis	1142|Synechocystis	S	YGGT family	-	-	-	ko:K02221	-	-	-	-	ko00000,ko02044	-	-	-	YGGT
SGL_RS14630	1148.1001687	2.05e-138	396.0	COG0457@1|root,COG1357@1|root,COG0457@2|Bacteria,COG1357@2|Bacteria,1G58B@1117|Cyanobacteria,1H5I6@1142|Synechocystis	1142|Synechocystis	S	TPR repeat	-	-	-	-	-	-	-	-	-	-	-	-	Pentapeptide,TPR_11
SGL_RS18425	1148.1673344	1.08e-35	120.0	2E350@1|root,32Y50@2|Bacteria,1G90P@1117|Cyanobacteria,1H5WI@1142|Synechocystis	1142|Synechocystis	S	NAD(P)H dehydrogenase subunit S	-	-	-	-	-	-	-	-	-	-	-	-	NdhS
SGL_RS14635	1148.1001688	0.0	1271.0	COG4178@1|root,COG4178@2|Bacteria,1G1HI@1117|Cyanobacteria,1H6I0@1142|Synechocystis	1142|Synechocystis	S	SbmA/BacA-like family	-	-	-	ko:K02471	ko02010,map02010	-	-	-	ko00000,ko00001,ko02000	3.A.1.203.11,3.A.1.203.4	-	-	ABC_membrane_2,ABC_tran
SGL_RS14645	1148.1673345	8.09e-44	142.0	COG1598@1|root,COG1598@2|Bacteria,1GIJ2@1117|Cyanobacteria,1H6TS@1142|Synechocystis	1142|Synechocystis	S	PFAM Uncharacterised protein family UPF0150	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14650	1147.D082_30800	5.6e-28	102.0	COG1724@1|root,COG1724@2|Bacteria,1GKR7@1117|Cyanobacteria,1H6V8@1142|Synechocystis	1142|Synechocystis	N	HicA toxin of bacterial toxin-antitoxin,	-	-	-	-	-	-	-	-	-	-	-	-	HicA_toxin
SGL_RS14655	1148.1001690	2.57e-246	689.0	COG0845@1|root,COG0845@2|Bacteria,1G0KI@1117|Cyanobacteria,1H5C6@1142|Synechocystis	1142|Synechocystis	M	Barrel-sandwich domain of CusB or HlyD membrane-fusion	-	-	-	-	-	-	-	-	-	-	-	-	Biotin_lipoyl_2,HlyD_3
SGL_RS14660	1148.1001691	3.05e-99	287.0	COG0824@1|root,COG0824@2|Bacteria,1G7XG@1117|Cyanobacteria,1H5XZ@1142|Synechocystis	1142|Synechocystis	S	Thioesterase-like superfamily	-	GO:0003674,GO:0003824,GO:0006732,GO:0006766,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0016289,GO:0016787,GO:0016788,GO:0016790,GO:0042180,GO:0042181,GO:0042372,GO:0042374,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0047617,GO:0051186,GO:0051188,GO:0071704,GO:1901576,GO:1901661,GO:1901663	3.1.2.28	ko:K12073	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00116	R07262	RC00004,RC00174	ko00000,ko00001,ko00002,ko01000	-	-	-	4HBT
SGL_RS14665	1148.1001692	0.0	964.0	COG0008@1|root,COG0008@2|Bacteria,1G1X2@1117|Cyanobacteria,1H4QV@1142|Synechocystis	1142|Synechocystis	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)	gltX	-	6.1.1.17	ko:K01885	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	R05578	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016	-	-	-	tRNA-synt_1c
SGL_RS14670	1148.1001693	0.0	1081.0	COG0645@1|root,COG2187@1|root,COG0645@2|Bacteria,COG2187@2|Bacteria,1FZW6@1117|Cyanobacteria,1H4VP@1142|Synechocystis	1142|Synechocystis	S	Zeta toxin	-	-	-	ko:K07028	-	-	-	-	ko00000	-	-	-	AAA_33
SGL_RS14675	1148.1001694	1.89e-182	508.0	COG0760@1|root,COG0760@2|Bacteria,1G0YM@1117|Cyanobacteria,1H671@1142|Synechocystis	1142|Synechocystis	G	PPIC-type PPIASE domain	-	-	-	-	-	-	-	-	-	-	-	-	Rotamase
SGL_RS14680	1148.1001695	3.2e-49	156.0	2E4KC@1|root,32ZFB@2|Bacteria,1G8YF@1117|Cyanobacteria,1H5VB@1142|Synechocystis	1142|Synechocystis	S	Ferredoxin thioredoxin reductase variable alpha chain	ftrV	GO:0008150,GO:0008152,GO:0055114	-	-	-	-	-	-	-	-	-	-	FeThRed_A
SGL_RS14685	1148.1001696	5.2e-252	691.0	28PZ3@1|root,2ZCIK@2|Bacteria,1G5AC@1117|Cyanobacteria,1H6F6@1142|Synechocystis	1142|Synechocystis	S	PAS domain	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14690	1148.1001697	2.56e-312	849.0	COG0642@1|root,COG2205@2|Bacteria,1G20R@1117|Cyanobacteria,1H61M@1142|Synechocystis	1142|Synechocystis	F	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA
SGL_RS14695	1147.D082_29590	1.52e-47	151.0	2E3HR@1|root,32YG9@2|Bacteria,1G932@1117|Cyanobacteria,1H5WP@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF2839)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2839
SGL_RS14700	1148.1001698	6.37e-299	814.0	COG0454@1|root,COG0456@2|Bacteria,1FZVY@1117|Cyanobacteria,1H4IA@1142|Synechocystis	1142|Synechocystis	K	Acetyltransferase, gnat family	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14705	1148.1001699	2.26e-53	167.0	COG0759@1|root,COG0759@2|Bacteria,1G90B@1117|Cyanobacteria,1H5W3@1142|Synechocystis	1142|Synechocystis	S	Could be involved in insertion of integral membrane proteins into the membrane	-	-	-	ko:K08998	-	-	-	-	ko00000	-	-	-	Haemolytic
SGL_RS14710	1148.1001700	0.0	2390.0	COG0646@1|root,COG1410@1|root,COG0646@2|Bacteria,COG1410@2|Bacteria,1G0PS@1117|Cyanobacteria,1H56W@1142|Synechocystis	1142|Synechocystis	E	B12 binding domain	metH	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0019752,GO:0032259,GO:0042084,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.1.1.13	ko:K00548	ko00270,ko00450,ko00670,ko01100,ko01110,ko01230,map00270,map00450,map00670,map01100,map01110,map01230	M00017	R00946,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000	-	-	-	B12-binding,B12-binding_2,Met_synt_B12,Pterin_bind,S-methyl_trans
SGL_RS14740	1148.1001202	1.37e-134	381.0	COG4636@1|root,COG4636@2|Bacteria,1GJE7@1117|Cyanobacteria,1H6SZ@1142|Synechocystis	1142|Synechocystis	S	Putative restriction endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	Uma2
SGL_RS14750	1148.1001203	0.0	875.0	COG0312@1|root,COG0312@2|Bacteria,1G061@1117|Cyanobacteria,1H58G@1142|Synechocystis	1142|Synechocystis	S	Putative modulator of DNA gyrase	-	-	-	ko:K03592	-	-	-	-	ko00000,ko01002	-	-	-	PmbA_TldD
SGL_RS14755	1148.1001204	5.97e-83	257.0	COG0457@1|root,COG0457@2|Bacteria,1G0IA@1117|Cyanobacteria,1H510@1142|Synechocystis	1142|Synechocystis	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	TPR_1,TPR_16
SGL_RS14760	1148.1001205	2.11e-132	375.0	COG1309@1|root,COG1309@2|Bacteria,1G7W2@1117|Cyanobacteria,1H6A9@1142|Synechocystis	1142|Synechocystis	K	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
SGL_RS14765	1148.1001206	0.0	893.0	COG0534@1|root,COG0534@2|Bacteria,1G1F8@1117|Cyanobacteria,1H6HH@1142|Synechocystis	1142|Synechocystis	U	MatE	-	-	-	ko:K03327	-	-	-	-	ko00000,ko02000	2.A.66.1	-	-	MatE
SGL_RS14770	1148.1001207	0.0	2054.0	COG2931@1|root,COG3325@1|root,COG2931@2|Bacteria,COG3325@2|Bacteria,1G314@1117|Cyanobacteria,1H66W@1142|Synechocystis	1142|Synechocystis	G	CBD_II	-	-	3.2.1.4	ko:K01179	ko00500,ko01100,map00500,map01100	-	R06200,R11307,R11308	-	ko00000,ko00001,ko01000	-	GH5,GH9	-	CBM_2,Glyco_hydro_9
SGL_RS14775	1148.1001208	0.0	1017.0	COG0155@1|root,COG0155@2|Bacteria,1G0Z6@1117|Cyanobacteria,1H4MM@1142|Synechocystis	1142|Synechocystis	P	Nitrite and sulphite reductase 4Fe-4S domain	nirA	-	1.7.7.1	ko:K00366	ko00910,ko01120,map00910,map01120	M00531	R00790	RC00176	ko00000,ko00001,ko00002,ko01000	-	-	-	NIR_SIR,NIR_SIR_ferr
SGL_RS14780	1148.1001209	3.21e-104	301.0	COG1513@1|root,COG1513@2|Bacteria,1G529@1117|Cyanobacteria,1H5FX@1142|Synechocystis	1142|Synechocystis	P	Catalyzes the reaction of cyanate with bicarbonate to produce ammonia and carbon dioxide	cynS	-	4.2.1.104	ko:K01725	ko00910,map00910	-	R03546,R10079	RC00952	ko00000,ko00001,ko01000	-	-	-	Cyanate_lyase
